height,ideal_weight_male_pounds,ideal_weight_female_pounds
60,110.23,108.03
61,115.30,111.77
62,120.37,115.52
63,125.44,119.27
64,130.51,123.02
65,135.58,126.77
66,140.65,130.51
67,145.73,134.26
68,150.80,138.01
69,155.87,141.76
70,160.94,145.50
71,166.01,149.25
72,171.08,153.00
73,176.15,156.75
74,181.22,160.50
75,186.29,164.24
76,191.36,167.99
77,196.43,171.74
78,201.50,175.49
79,206.57,179.24
80,211.64,182.98
81,216.71,186.73
82,221.78,190.48
83,226.86,194.23
84,231.93,197.97
85,237.00,201.72
86,242.07,205.47
87,247.14,209.22
88,252.21,212.97
89,257.28,216.71
90,262.35,220.46
91,267.42,224.21
92,272.49,227.96
93,277.56,231.71
94,282.63,235.45
95,287.70,239.20
96,292.77,242.95